Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
23.00,-28.64788976,-14.32394488,3.58098622,0.980612245,-0.013265306,-0.107142857,-115,-11.1875,22
23.06,7.161972439,-14.32394488,3.58098622,0.982653061,-0.009183673,-0.109183673,-114.625,-11.5625,21.6875
23.13,-28.64788976,3.58098622,10.74295866,0.980612245,-0.019387755,-0.101020408,-114.625,-11.5625,21.6875
23.19,-14.32394488,-25.06690354,-3.58098622,0.982653061,-0.015306122,-0.107142857,-114.25,-10.125,20.625
23.25,-21.48591732,-3.58098622,-7.161972439,0.978571429,-0.015306122,-0.105102041,-112.4375,-11.5625,21.6875
23.31,-7.161972439,-14.32394488,-7.161972439,0.982653061,-0.007142857,-0.11122449,-112.4375,-11.5625,21.6875
23.38,-17.9049311,-3.58098622,0,0.982653061,-0.013265306,-0.098979592,-114.625,-11.5625,21.6875
23.44,-10.74295866,0,0,0.980612245,-0.013265306,-0.105102041,-114.625,-10.875,22.0625
23.50,-3.58098622,-17.9049311,0,0.984693878,-0.019387755,-0.101020408,-114.625,-10.875,22.0625
23.56,-28.64788976,-3.58098622,7.161972439,0.980612245,-0.015306122,-0.105102041,-113.875,-11.1875,22.375
23.63,10.74295866,-21.48591732,0,0.982653061,-0.013265306,-0.105102041,-115.3125,-10.875,22
23.69,-32.22887598,-3.58098622,0,0.982653061,-0.009183673,-0.103061224,-115.3125,-10.875,22
23.75,3.58098622,-14.32394488,3.58098622,0.980612245,-0.009183673,-0.105102041,-114.625,-10.875,21.6875
23.81,-25.06690354,-32.22887598,7.161972439,0.982653061,-0.015306122,-0.101020408,-115,-9.75,21.6875
23.88,-17.9049311,-28.64788976,0,0.982653061,-0.007142857,-0.113265306,-115,-9.75,21.6875
23.94,-7.161972439,-10.74295866,-3.58098622,0.980612245,-0.015306122,-0.109183673,-114.625,-11.5625,21.3125
24.00,-10.74295866,-17.9049311,0,0.982653061,-0.009183673,-0.113265306,-114.25,-11.5625,22
24.06,-7.161972439,3.58098622,10.74295866,0.982653061,-0.015306122,-0.103061224,-114.25,-11.5625,22
24.13,0,-7.161972439,3.58098622,0.984693878,-0.019387755,-0.098979592,-114.25,-10.5,22.75
24.19,-17.9049311,-21.48591732,-3.58098622,0.980612245,-0.026530612,-0.092857143,-114.25,-11.1875,22
24.25,-32.22887598,-14.32394488,-7.161972439,0.980612245,-0.01122449,-0.109183673,-114.25,-11.1875,22
24.31,-10.74295866,-10.74295866,-10.74295866,0.982653061,-0.01122449,-0.105102041,-113.875,-10.125,22.0625
24.38,-39.39084842,-3.58098622,-7.161972439,0.982653061,-0.005102041,-0.116326531,-113.875,-10.125,22.0625
24.44,21.48591732,0,3.58098622,0.982653061,-0.003061224,-0.113265306,-113.5625,-10.125,21.3125
24.50,-25.06690354,10.74295866,10.74295866,0.982653061,-0.01122449,-0.103061224,-113.875,-11.5625,22.375
