Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0.00,-17.9049311,7.161972439,-3.58098622,0.980612245,-0.01122449,-0.109183673,-115.3125,-9.0625,21.6875
0.06,-10.74295866,-7.161972439,10.74295866,0.980612245,-0.009183673,-0.103061224,-115.6875,-11.1875,21.6875
0.13,7.161972439,-7.161972439,14.32394488,0.982653061,-0.015306122,-0.101020408,-115.6875,-12.3125,21.6875
0.19,-25.06690354,-10.74295866,3.58098622,0.980612245,-0.02244898,-0.098979592,-115.6875,-12.3125,21.6875
0.25,-10.74295866,-35.8098622,0,0.980612245,-0.024489796,-0.103061224,-114.25,-10.875,21.3125
0.31,-42.97183463,-14.32394488,-7.161972439,0.982653061,-0.017346939,-0.11122449,-115.6875,-11.5625,22.375
0.38,-21.48591732,-21.48591732,-17.9049311,0.982653061,-0.007142857,-0.11122449,-115.6875,-11.5625,22.375
0.44,-25.06690354,0,0,0.982653061,-0.003061224,-0.113265306,-113.5625,-10.875,21.3125
0.50,0,-3.58098622,14.32394488,0.982653061,-0.001020408,-0.11122449,-114.625,-10.125,20.9375
0.56,-3.58098622,3.58098622,21.48591732,0.982653061,-0.013265306,-0.098979592,-114.625,-10.125,20.9375
0.63,-3.58098622,-17.9049311,14.32394488,0.982653061,-0.02244898,-0.103061224,-115,-11.1875,23.125
0.69,-7.161972439,-7.161972439,3.58098622,0.982653061,-0.024489796,-0.103061224,-113.875,-10.875,21.6875
0.75,-32.22887598,-10.74295866,-10.74295866,0.982653061,-0.02244898,-0.103061224,-113.875,-10.875,21.6875
0.81,-21.48591732,-25.06690354,-14.32394488,0.980612245,-0.015306122,-0.103061224,-114.625,-9.75,22.75
0.88,-39.39084842,-7.161972439,-10.74295866,0.980612245,-0.005102041,-0.11122449,-114.625,-11.5625,20.9375
0.94,-10.74295866,-17.9049311,-3.58098622,0.982653061,0.001020408,-0.11122449,-114.625,-11.5625,20.9375
1.00,-7.161972439,-3.58098622,14.32394488,0.982653061,-0.007142857,-0.107142857,-114.625,-10.875,22.375
1.06,7.161972439,17.9049311,17.9049311,0.980612245,-0.007142857,-0.11122449,-114.25,-10.875,21.3125
1.13,-3.58098622,0,14.32394488,0.980612245,-0.024489796,-0.105102041,-114.25,-10.875,21.3125
1.19,-3.58098622,-10.74295866,7.161972439,0.980612245,-0.02244898,-0.105102041,-113.875,-11.5625,22
1.25,-14.32394488,-17.9049311,-7.161972439,0.982653061,-0.021428571,-0.105102041,-113.875,-11.5625,22
1.31,-39.39084842,-10.74295866,-10.74295866,0.980612245,-0.015306122,-0.101020408,-113.875,-11.5625,22
1.38,-21.48591732,-17.9049311,-10.74295866,0.982653061,-0.005102041,-0.103061224,-114.25,-10.125,20.9375
1.44,-28.64788976,-3.58098622,0,0.980612245,-0.007142857,-0.107142857,-116.0625,-10.5,22
1.50,0,-21.48591732,10.74295866,0.980612245,-0.007142857,-0.113265306,-116.0625,-10.5,22
1.56,-17.9049311,3.58098622,10.74295866,0.982653061,-0.017346939,-0.105102041,-113.875,-10.875,22
1.63,0,7.161972439,10.74295866,0.980612245,-0.017346939,-0.109183673,-113.875,-10.875,22
1.69,-21.48591732,-14.32394488,3.58098622,0.980612245,-0.02244898,-0.101020408,-115,-10.875,22
1.75,-25.06690354,3.58098622,0,0.984693878,-0.017346939,-0.101020408,-114.25,-9.75,22.375
1.81,-21.48591732,-35.8098622,-14.32394488,0.980612245,-0.01122449,-0.103061224,-114.25,-9.75,22.375
1.88,-42.97183463,-14.32394488,3.58098622,0.978571429,-0.013265306,-0.103061224,-114.25,-10.875,21.3125
1.94,-3.58098622,-17.9049311,-3.58098622,0.980612245,-0.009183673,-0.11122449,-114.625,-10.875,21.3125
2.00,-35.8098622,-10.74295866,7.161972439,0.980612245,-0.013265306,-0.109183673,-114.625,-10.875,21.3125
2.06,10.74295866,-7.161972439,3.58098622,0.980612245,-0.009183673,-0.109183673,-115,-11.9375,20.9375
2.13,-14.32394488,-3.58098622,0,0.980612245,-0.021428571,-0.101020408,-114.625,-10.875,21.6875
2.19,-7.161972439,-10.74295866,0,0.982653061,-0.017346939,-0.103061224,-114.625,-10.875,21.6875
2.25,-17.9049311,-3.58098622,-3.58098622,0.982653061,-0.019387755,-0.098979592,-115.6875,-10.125,21.6875
2.31,-35.8098622,-17.9049311,-7.161972439,0.982653061,-0.007142857,-0.107142857,-114.25,-10.875,22.0625
2.38,7.161972439,-17.9049311,0,0.980612245,-0.013265306,-0.105102041,-114.25,-10.875,22.0625
2.44,-32.22887598,-10.74295866,0,0.982653061,-0.009183673,-0.107142857,-114.25,-11.1875,22
2.50,3.58098622,-10.74295866,-7.161972439,0.984693878,-0.007142857,-0.107142857,-115,-9.75,21.3125
2.56,-35.8098622,-7.161972439,10.74295866,0.982653061,-0.013265306,-0.101020408,-115,-9.75,21.3125
2.63,0,0,3.58098622,0.982653061,-0.015306122,-0.105102041,-114.25,-10.125,22.75
2.69,-25.06690354,-7.161972439,-7.161972439,0.980612245,-0.024489796,-0.098979592,-114.625,-10.875,22.375
2.75,-14.32394488,-7.161972439,-10.74295866,0.982653061,-0.013265306,-0.103061224,-114.625,-10.875,22.375
2.81,-14.32394488,-14.32394488,-10.74295866,0.982653061,-0.017346939,-0.098979592,-114.25,-10.875,21.6875
2.88,-35.8098622,-35.8098622,-7.161972439,0.980612245,-0.005102041,-0.109183673,-115.3125,-9.375,20.9375
2.94,0,-21.48591732,-7.161972439,0.980612245,-0.005102041,-0.116326531,-115.3125,-9.375,20.9375
3.00,-14.32394488,-10.74295866,14.32394488,0.982653061,-0.007142857,-0.11122449,-114.625,-10.125,21.6875
3.06,14.32394488,3.58098622,21.48591732,0.982653061,-0.013265306,-0.107142857,-114.25,-10.125,22
3.13,-21.48591732,-14.32394488,10.74295866,0.980612245,-0.02244898,-0.096938776,-114.25,-10.125,22
3.19,-3.58098622,-3.58098622,-3.58098622,0.982653061,-0.021428571,-0.096938776,-113.875,-11.9375,22
3.25,-32.22887598,-7.161972439,-10.74295866,0.982653061,-0.019387755,-0.094897959,-113.875,-11.9375,22
3.31,-32.22887598,-7.161972439,-10.74295866,0.980612245,-0.015306122,-0.107142857,-114.625,-11.1875,21.6875
3.38,-25.06690354,-17.9049311,-3.58098622,0.980612245,-0.01122449,-0.107142857,-114.25,-11.5625,22.0625
3.44,-35.8098622,-3.58098622,-7.161972439,0.980612245,-0.003061224,-0.115306122,-114.25,-11.5625,22.0625
3.50,0,-14.32394488,7.161972439,0.980612245,-0.009183673,-0.115306122,-115.3125,-10.5,22.75
3.56,-21.48591732,7.161972439,10.74295866,0.980612245,-0.013265306,-0.107142857,-115.3125,-10.5,22.75
3.63,7.161972439,-10.74295866,14.32394488,0.982653061,-0.017346939,-0.098979592,-115.3125,-10.5,22.75
3.69,-21.48591732,-10.74295866,7.161972439,0.980612245,-0.019387755,-0.103061224,-115,-11.1875,22
3.75,-7.161972439,-32.22887598,0,0.982653061,-0.019387755,-0.101020408,-115.3125,-11.1875,21.3125
3.81,-25.06690354,-21.48591732,-14.32394488,0.980612245,-0.019387755,-0.103061224,-115.3125,-11.1875,21.3125
3.88,-28.64788976,-28.64788976,-7.161972439,0.980612245,-0.005102041,-0.113265306,-114.25,-11.1875,21.3125
3.94,-14.32394488,-17.9049311,0,0.982653061,-0.003061224,-0.11122449,-114.625,-10.875,21.6875
4.00,-10.74295866,-14.32394488,0,0.982653061,-0.007142857,-0.115306122,-114.625,-10.875,21.6875
4.06,-3.58098622,10.74295866,7.161972439,0.982653061,-0.013265306,-0.109183673,-115.3125,-9.75,21.6875
4.13,-10.74295866,-3.58098622,7.161972439,0.980612245,-0.019387755,-0.105102041,-115,-10.5,23.125
4.19,-7.161972439,-14.32394488,3.58098622,0.982653061,-0.021428571,-0.101020408,-115,-10.5,23.125
4.25,-21.48591732,-32.22887598,7.161972439,0.982653061,-0.019387755,-0.098979592,-114.25,-10.875,20.625
4.31,-21.48591732,-28.64788976,-10.74295866,0.980612245,-0.009183673,-0.107142857,-114.625,-9.0625,23.125
4.38,-25.06690354,-7.161972439,-14.32394488,0.982653061,-0.007142857,-0.109183673,-114.625,-9.0625,23.125
4.44,-21.48591732,-17.9049311,-3.58098622,0.984693878,-0.007142857,-0.109183673,-115.3125,-10.125,22.0625
4.50,-3.58098622,-14.32394488,14.32394488,0.982653061,-0.007142857,-0.109183673,-115.3125,-10.125,22.0625
4.56,-3.58098622,3.58098622,17.9049311,0.982653061,-0.019387755,-0.107142857,-115.6875,-10.5,21.6875
4.63,0,-10.74295866,7.161972439,0.980612245,-0.019387755,-0.101020408,-114.25,-10.875,21.6875
4.69,-25.06690354,-3.58098622,-3.58098622,0.982653061,-0.02244898,-0.103061224,-114.25,-10.875,21.6875
4.75,-14.32394488,-10.74295866,-3.58098622,0.982653061,-0.015306122,-0.101020408,-114.25,-10.875,21.6875
4.81,-17.9049311,-17.9049311,-10.74295866,0.982653061,-0.013265306,-0.105102041,-114.625,-12.3125,20.625
4.88,-28.64788976,-28.64788976,-3.58098622,0.982653061,-0.007142857,-0.107142857,-114.625,-12.3125,20.625
4.94,-17.9049311,-21.48591732,3.58098622,0.982653061,-0.005102041,-0.107142857,-114.625,-10.5,22
5.00,-10.74295866,-14.32394488,7.161972439,0.978571429,-0.007142857,-0.109183673,-115,-11.1875,22.375
5.06,7.161972439,-25.06690354,21.48591732,0.984693878,-0.015306122,-0.105102041,-115,-11.1875,22.375
5.13,-7.161972439,-3.58098622,3.58098622,0.982653061,-0.019387755,-0.101020408,-113.875,-11.1875,22.0625
5.19,-10.74295866,0,-3.58098622,0.980612245,-0.021428571,-0.098979592,-114.625,-10.125,22.75
5.25,-32.22887598,-21.48591732,-10.74295866,0.982653061,-0.017346939,-0.101020408,-114.625,-10.125,22.75
5.31,-21.48591732,-17.9049311,-7.161972439,0.982653061,-0.009183673,-0.107142857,-114.625,-11.5625,21.3125
5.38,-21.48591732,-21.48591732,0,0.982653061,-0.01122449,-0.109183673,-113.1875,-11.9375,22.75
5.44,-14.32394488,-3.58098622,7.161972439,0.982653061,-0.005102041,-0.115306122,-113.1875,-11.9375,22.75
5.50,-17.9049311,0,7.161972439,0.978571429,-0.015306122,-0.109183673,-115,-11.5625,22.375
5.56,3.58098622,-10.74295866,14.32394488,0.982653061,-0.013265306,-0.107142857,-114.625,-11.5625,22.0625
5.63,-7.161972439,7.161972439,7.161972439,0.982653061,-0.02244898,-0.096938776,-114.625,-11.5625,22.0625
5.69,-17.9049311,0,0,0.982653061,-0.017346939,-0.098979592,-115.3125,-9.75,22.0625
5.75,-17.9049311,-32.22887598,-10.74295866,0.984693878,-0.017346939,-0.101020408,-115,-10.5,20.625
