ORT,ORA,RST,RSA
NaN,NaN,0,6.999996
NaN,NaN,0.03125,6.999996
NaN,NaN,0.0625,6.999996
NaN,NaN,0.09375,6.999996
NaN,NaN,0.125,6.999996
NaN,NaN,0.15625,7.00695
NaN,NaN,0.1875,7.036676
0.01,7,0.21875,7.094182
NaN,NaN,0.25,7.183859
0.02,7,0.28125,7.309591
0.03,7,0.3125,7.474533
0.04,7,0.34375,7.680837
0.05,7,0.375,7.929373
0.06,7,0.40625,8.219413
0.07,7,0.4375,8.548294
0.08,7,0.46875,8.911122
0.09,7,0.5,9.300543
0.1,7,0.53125,9.706634
0.108,7,0.5625,10.116985
0.116,7,0.59375,10.517045
0.124,7,0.625,10.890849
NaN,NaN,0.65625,11.222245
0.131,7,0.6875,11.496192
0.142,7.001,0.71875,11.700066
0.158,7.008,0.75,11.824974
0.182,7.032,0.78125,11.866869
0.219,7.102,0.8125,11.827411
0.269,7.277,0.84375,11.714439
0.319,7.561,0.875,11.5419
0.369,7.961,0.90625,11.329113
0.419,8.476,0.9375,11.099384
0.469,9.086,0.96875,10.877947
0.519,9.751,1,10.689299
0.569,10.407,1.03125,10.554279
0.619,10.977,1.0625,10.487623
0.669,11.38,1.09375,10.496238
0.711,11.543,1.125,10.578427
0.749,11.529,1.15625,10.72418
0.789,11.361,1.1875,10.916614
0.838,10.985,1.21875,11.134256
0.888,10.516,1.25,11.353854
0.938,10.111,1.28125,11.553362
0.986,9.91,1.3125,11.714691
1.021,9.925,1.34375,11.825672
1.055,10.076,1.375,11.880943
1.097,10.404,1.40625,11.881942
1.147,10.897,1.4375,11.836033
1.197,11.33,1.46875,11.755174
1.243,11.548,1.5,11.654338
1.279,11.558,1.53125,11.549636
1.318,11.423,1.5625,11.456451
1.368,11.107,1.59375,11.387743
NaN,NaN,1.625,11.352835
1.4,10.883,1.65625,11.356746
1.448,10.623,1.6875,11.400052
1.498,10.542,1.71875,11.479209
1.541,10.653,1.75,11.587261
1.591,10.956,1.78125,11.714826
1.641,11.343,1.8125,11.851235
1.691,11.688,1.84375,11.985709
1.741,11.888,1.875,12.108454
1.791,11.9,1.90625,12.211602
1.841,11.747,1.9375,12.289834
1.891,11.507,1.96875,12.340683
1.941,11.285,2,12.364528
1.991,11.169,2.03125,12.364324
2.041,11.208,2.0625,12.345116
2.091,11.398,2.09375,12.313398
2.141,11.688,2.125,12.276403
2.191,11.997,2.15625,12.241373
2.241,12.246,2.1875,12.21488
2.291,12.379,2.21875,12.202262
2.341,12.381,2.25,12.207247
2.391,12.274,2.28125,12.231749
2.441,12.112,2.3125,12.275853
2.491,11.961,2.34375,12.337952
2.541,11.881,2.375,12.415023
2.591,11.906,2.40625,12.502989
2.641,12.041,2.4375,12.597153
2.691,12.26,2.46875,12.692636
2.741,12.515,2.5,12.784805
2.791,12.755,2.53125,12.869637
2.841,12.934,2.5625,12.944021
2.891,13.026,2.59375,13.005935
2.941,13.028,2.625,13.05453
2.991,12.961,2.65625,13.090102
3.041,12.86,2.6875,13.113982
3.091,12.77,2.71875,13.128351
3.141,12.725,2.75,13.13601
3.191,12.752,2.78125,13.140114
3.241,12.856,2.8125,13.143908
3.291,13.027,2.84375,13.150469
3.341,13.237,2.875,13.162484
3.391,13.455,2.90625,13.182076
3.441,13.649,2.9375,13.210696
3.491,13.794,2.96875,13.249066
3.541,13.878,3,13.297183
3.591,13.903,3.03125,13.354375
3.641,13.881,3.0625,13.419399
3.691,13.836,3.09375,13.490567
3.741,13.793,3.125,13.565901
3.791,13.777,3.15625,13.643288
